handle,Is Sybil? (T or F),"Confidence (low, so-so, high)",Notes,gitcoin_url,github_url,prediction_score,prediction_confidence,quant_1,quant_2,quant_3,quant_4,quant_5,quant_6,quant_7,Human_preds
singleto,F,high,fairly enough github and gitcoin records,https://gitcoin.co/singleto,https://github.com/singleto,0.0,0.6159185772902313,-0.0572471968533987,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,1.7059814952457664,-0.4395452511295755,0
ccerv1,F,high,,https://gitcoin.co/ccerv1,https://github.com/ccerv1,0.0,0.6640450435140193,-0.0219377035353824,6.253068015132645,-0.1152452724593598,-0.0675172724375685,1.2661489832980952,0.4772178443827101,-0.3931110132795271,0
clh1947,T,High,Low donations all with an hour,https://gitcoin.co/clh1947,https://github.com/clh1947,0.0,0.6128526835647399,-0.0219377035353824,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.4103854929153449,-0.4047195727420392,1
liujianywfh,T,High,,https://gitcoin.co/liujianywfh,https://github.com/liujianywfh,0.0,0.5755169926658005,-0.2337946634434801,0.2728776215231617,-0.1306882696571836,-0.0675172724375685,-0.0034808219472112,-0.3302274822782958,-0.2073740618793331,1
frank343,T,Low,,https://gitcoin.co/frank343,https://github.com/frank343,0.0,0.5448926652727728,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,0.1458328979685684,0.3498367923212485,1
chiapudding000,T,so-so,,https://gitcoin.co/chiapudding000,https://github.com/chiapudding000,0.0,0.5080925996303124,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6987588238657041,-0.4163281322045513,1
chupinren,F,High,83 followers,https://gitcoin.co/chupinren,https://github.com/chupinren,0.0,0.5672624734736906,-0.1984851701254638,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6088254460777954,-0.4163281322045513,0
twhit223,F,Low,,https://gitcoin.co/twhit223,https://github.com/twhit223,0.0,0.647523361591833,-0.1278661834894312,-0.1700994446701334,-0.0998022752615359,-0.0615406514052648,-0.0034808219472112,2.1067715484310114,0.9534818843718786,0
mkultrac44250144,T,so-so,,https://gitcoin.co/mkultrac44250144,https://github.com/mkultrac44250144,1.0,0.4689963415837528,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6889834567148445,0.7097021356591242,1
jia1430,F,so-so, 63 followers · 59 following,https://gitcoin.co/jia1430,https://github.com/jia1430,0.0,0.6455294357214612,-0.0572471968533987,-0.1700994446701334,0.8267775566078964,0.2791267474360431,-0.0034808219472112,-0.3400028494291555,-0.2189826213418453,0
wangyoucheng12,F,Low,5 following,https://gitcoin.co/wangyoucheng12,https://github.com/wangyoucheng12,0.0,0.6048733576697074,-0.1631756768074475,-0.1700994446701334,-0.1306882696571836,-0.0376341672760502,-0.6382957245698645,-0.6088254460777954,-0.4163281322045513,0
xiaoxing200888,T,so-so,,https://gitcoin.co/xiaoxing200888,https://github.com/xiaoxing200888,0.0,0.5675683491634308,-0.1984851701254638,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6039377625023656,1.7196468088976786,1
